,Season,Episodes,Episodes,Originally aired,Originally aired,Households / viewers,Rank,Rating
,Season,Episodes,Episodes.1,First aired,Last aired,Households / viewers,Rank,Rating
0,1,13,13,"December 17, 1989","May 13, 1990",13.4m h.[n1][12],30,14.5
1,2,22,22,"October 11, 1990","July 11, 1991",12.2m h.[n1][n2],38[13],8.0
2,3,24,24,"September 19, 1991","August 27, 1992",12.0m h.[n1][n3],33[14],—
3,4,22,22,"September 24, 1992","May 13, 1993",12.1m h.[n1][15],30,13.0
4,5,22,22,"September 30, 1993","May 19, 1994",10.5m h.[n1][n4],53[16],—
5,6,25,25,"September 4, 1994","May 21, 1995",9.0m h.[n1][17],67[17],—
6,7,25,25,"September 17, 1995","May 19, 1996",8.0m h.[n1][18],75[18],—
7,8,25,25,"October 27, 1996","May 18, 1997",8.6m h.[19],53[19],—
8,9,25,25,"September 21, 1997","May 17, 1998",9.1m h.[20],30,9.2
9,10,23,23,"August 23, 1998","May 16, 1999",7.9m h.[21],46[21],—
10,11,22,22,"September 26, 1999","May 21, 2000",8.2m h.[22],44[22],—
11,12,21,21,"November 1, 2000","May 20, 2001",14.7m viewers[23],21[23],—
12,13,22,22,"November 6, 2001","May 22, 2002",12.4m viewers[24],30[24],—
13,14,22,22,"November 3, 2002","May 18, 2003",13.4m viewers[25],25[25],—
14,15,22,22,"November 2, 2003","May 23, 2004",10.6m viewers[26],42[26],—
15,16,21,21,"November 7, 2004","May 15, 2005",9.6m viewers[27],52[27],—
16,17,22,22,"September 11, 2005","May 21, 2006",9.1m viewers[28],62[28],3.2
17,18,22,22,"September 10, 2006","May 20, 2007",8.6m viewers[29],60[29],4.1
18,19,20,20,"September 23, 2007","May 18, 2008",8.0m viewers[30],87[30],—
19,20,21,21,"September 28, 2008","May 17, 2009",6.9m viewers[31],77[31],—
20,21,23,23,"September 27, 2009","May 23, 2010",7.2m viewers[32],61[32],3.4
21,22,22,22,"September 26, 2010","May 22, 2011",7.3m viewers[33],65[33],3.3
22,23,22,22,"September 25, 2011","May 20, 2012",7.0m viewers[34],69[34],3.3
23,24,22,22,"September 30, 2012","May 19, 2013",6.3m viewers[35],70[35],2.9
24,25,22,22,"September 29, 2013","May 18, 2014",5.6m viewers[36],81[36],—
25,26,22,22,"September 28, 2014","May 17, 2015",5.6m viewers[37],100[37],2.6
26,27,22,22,"September 27, 2015","May 22, 2016",4.7m viewers[38],102[38],2.1
27,28,22,22,"September 25, 2016","May 21, 2017",4.8m viewers[39],92[39],2.1
28,29,21,21,"October 1, 2017","May 20, 2018",4.1m viewers[40],122[40],1.7
29,30,23,23,"September 30, 2018","May 12, 2019",3.7m viewers[41],126[41],1.4
30,31,22,22,"September 29, 2019","May 17, 2020",3.0m viewers[42],103[42],1.1
31,32,22,22,"September 27, 2020","May 23, 2021",2.4m viewers[43],117[43],0.8
32,33,22,22,"September 26, 2021","May 22, 2022",2.3m viewers[44],98[44],0.7
